,Tweets,Tweet_ID
0,"RT @filmfare: .@AnushkaSharma and @aliaa08 have a special message for all pet owners during the outbreak of the coronavirus. 

https://t.co…",1242506967626604545
1,RT @BarackObama: Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER…,1242506748193165313
2,RT @shahidkapoor: At this point in time. Warm water. Every 20 minutes. https://t.co/1WahvAd2OG,1242506380533063681
3,RT @shahidkapoor: Hahahaha lots of love https://t.co/4crtU9HC7n,1242506112487657472
4,"RT @filmfare: 10 #EmraanHashmi movies we all love. #HappyBirthdayEmraanHashmi 

https://t.co/SQwOh6A9EA",1242504900468068352
5,"RT @filmfare: Take a look at this adorable video of @FarOutAkhtar. 

https://t.co/1iDH76mwXZ",1242504212384083970
6,"RT @ESPNcricinfo: Happy birthday to one of England's greatest spinners, @Swannyg66! 🏴󠁧󠁢󠁥󠁮󠁧󠁿

Will it be the sprinkler or the floss to celeb…",1242503657045688321
7,"RT @filmfare: Check out this awesome throwback picture of @SrBachchan. 

https://t.co/XlIJvKZFLO",1242503615970832385
8,RT @shahidkapoor: Am good . Love to your and your family. https://t.co/thVNWg9nNy,1242503251678736384
9,RT @shahidkapoor: Hahaha find something to focus on. Anything you enjoy. And always believe in god. Leave it to him. https://t.co/rq1QkICa1w,1242503211631575040
10,RT @shahidkapoor: Good idea. Ghar pe banate hain kal. https://t.co/CRvjFIcdMI,1242502877114818560
11,media test https://t.co/AKx84LIlMb,1242501219597185024
12,RT @filmfare: Here’s a lovely #throwback selfie of #ShahidKapoor and #MiraKapoor. https://t.co/rZxUI8y58E,1242483864854876161
13,@VishnnuM Thank you so much 2,1241395745447505922
14,@VishnnuM Thank you so much 2,1241377012276588545
